Model probability	Spectral learning probability
1.834861e-51	1.442441e-51	[6, 7, 4, 4, 7, 6, 0, 3, 3, 4, 3, 0, 1, 1, 6, 4, 0, 6, 5, 7, 5, 5, 0, 0, 2, 3, 6, 2, 1, 1, 2, 0, 7, 7, 0, 4, 6, 7, 3, 1, 7, 1, 3, 0, 7, 3, 7, 7, 7, 6, 7, 5, 5, 4, 4, 1]
1.065106e-44	1.649933e-44	[3, 7, 6, 1, 7, 7, 5, 4, 7, 7, 0, 3, 0, 6, 7, 1, 7, 2, 5, 7, 3, 5, 5, 7, 1, 2, 4, 7, 5, 2, 3, 3, 5, 2, 5, 6, 6, 7, 2, 3, 1, 4, 2, 3, 0, 0, 6, 7]
1.256876e-40	1.279861e-40	[7, 0, 5, 0, 2, 5, 1, 4, 1, 7, 2, 3, 7, 1, 1, 3, 1, 6, 4, 7, 6, 6, 2, 4, 4, 4, 6, 3, 5, 0, 5, 0, 0, 0, 1, 6, 6, 3, 4, 0, 0, 2, 2, 2]
8.592743e-69	6.100431e-69	[2, 2, 0, 7, 0, 6, 2, 6, 2, 1, 2, 4, 4, 3, 7, 7, 3, 2, 0, 7, 5, 3, 6, 7, 7, 5, 7, 3, 6, 1, 7, 7, 2, 6, 7, 7, 3, 6, 7, 2, 6, 2, 2, 4, 0, 7, 0, 6, 6, 4, 7, 7, 3, 0, 4, 7, 7, 7, 3, 0, 6, 2, 6, 3, 3, 2, 4, 2, 2, 0, 6, 0, 0, 5, 3, 3, 7, 5]
3.623152e-58	2.726276e-58	[3, 5, 0, 7, 3, 7, 5, 1, 5, 4, 1, 6, 0, 6, 6, 3, 0, 5, 6, 1, 2, 3, 6, 7, 0, 1, 5, 6, 3, 2, 7, 2, 2, 1, 1, 2, 7, 4, 0, 2, 6, 0, 3, 7, 4, 2, 6, 5, 0, 6, 4, 6, 7, 3, 6, 3, 0, 0, 4, 7, 2, 4, 1, 2]
1.849209e-33	2.152772e-33	[0, 7, 3, 7, 2, 6, 3, 2, 7, 2, 1, 4, 6, 2, 7, 4, 6, 0, 2, 6, 7, 0, 2, 5, 1, 0, 0, 2, 4, 0, 7, 6, 6, 2, 6, 3, 6, 7]
2.379366e-41	2.319864e-41	[2, 4, 0, 2, 7, 0, 7, 5, 4, 4, 7, 5, 7, 0, 7, 1, 0, 7, 2, 1, 2, 2, 0, 6, 0, 2, 6, 7, 1, 6, 6, 7, 0, 6, 0, 3, 4, 6, 0, 1, 6, 6, 5, 6, 1, 0, 7]
9.123417e-12	9.135164e-12	[7, 6, 3, 6, 3, 4, 7, 3, 7, 5, 1, 7]
1.154645e-20	1.255422e-20	[6, 1, 0, 0, 5, 1, 3, 0, 1, 5, 7, 1, 6, 1, 0, 4, 5, 6, 2, 7, 7, 0]
6.408211e-67	6.733682e-67	[5, 7, 6, 6, 4, 3, 6, 1, 1, 6, 2, 7, 5, 0, 2, 3, 2, 4, 0, 0, 4, 2, 2, 6, 1, 7, 7, 5, 6, 6, 7, 2, 0, 1, 2, 0, 6, 7, 6, 5, 0, 7, 1, 0, 6, 3, 6, 4, 5, 7, 2, 0, 4, 1, 0, 7, 5, 0, 4, 0, 2, 7, 4, 6, 4, 2, 6, 7, 7, 2, 6, 0, 6, 6, 6, 0]
2.064354e-51	1.389005e-51	[6, 6, 5, 7, 6, 5, 7, 3, 4, 6, 6, 3, 0, 4, 4, 7, 4, 6, 2, 0, 3, 6, 3, 3, 0, 2, 0, 1, 2, 2, 7, 0, 4, 2, 6, 3, 5, 4, 6, 3, 4, 0, 6, 4, 4, 2, 4, 3, 0, 2, 0, 7, 7, 0, 1, 7, 6]
1.035673e-82	1.449636e-82	[6, 3, 2, 5, 3, 0, 1, 6, 7, 5, 1, 6, 6, 0, 2, 7, 1, 0, 1, 7, 0, 2, 2, 0, 0, 7, 3, 6, 0, 3, 2, 3, 1, 5, 4, 2, 0, 0, 3, 4, 7, 7, 6, 5, 4, 6, 5, 4, 7, 1, 7, 7, 4, 2, 7, 4, 2, 3, 3, 7, 0, 7, 2, 2, 2, 2, 2, 0, 6, 7, 1, 3, 1, 3, 2, 6, 7, 3, 2, 3, 7, 5, 0, 4, 0, 5, 0, 7, 1, 5, 6]
2.641166e-45	2.111069e-45	[3, 2, 4, 1, 5, 6, 4, 6, 4, 3, 5, 1, 3, 1, 1, 6, 0, 2, 5, 3, 7, 7, 5, 0, 4, 6, 7, 3, 7, 4, 4, 1, 2, 3, 7, 0, 7, 6, 4, 3, 3, 7, 5, 2, 0, 1, 2, 2]
