The value of m used in spectral learning algorithm: 5
Model probability	Spectral learning probability
2.422464e-115	2.525096e-115	[15, 11, 1, 8, 13, 12, 5, 9, 9, 3, 13, 1, 14, 6, 15, 1, 6, 13, 13, 13, 13, 5, 0, 12, 11, 0, 11, 1, 4, 12, 0, 8, 14, 7, 15, 15, 6, 1, 4, 9, 13, 15, 3, 8, 0, 5, 13, 11, 12, 3, 10, 8, 9, 11, 13, 4, 3, 3, 11, 8, 10, 5, 10, 13, 5, 13, 1, 13, 0, 4, 13, 1, 5, 13, 5, 1, 2, 5, 3, 4, 11, 11, 12, 12, 0, 2, 6, 1, 8, 7, 1, 11, 10, 1, 5, 4, 5]
3.099322e-30	3.053859e-30	[8, 3, 15, 1, 4, 7, 8, 1, 10, 10, 8, 11, 9, 5, 9, 5, 0, 1, 13, 1, 6, 10, 4, 14, 0]
4.286702e-47	4.183959e-47	[6, 13, 4, 3, 11, 15, 12, 15, 12, 1, 9, 0, 5, 5, 4, 10, 12, 2, 0, 5, 3, 8, 15, 14, 3, 12, 15, 14, 1, 10, 6, 0, 2, 3, 7, 3, 1, 5]
5.940743e-114	5.127424e-114	[8, 3, 8, 9, 8, 5, 14, 3, 8, 13, 4, 12, 6, 7, 8, 3, 4, 2, 7, 1, 10, 8, 15, 6, 5, 5, 13, 13, 7, 10, 15, 13, 2, 11, 3, 5, 2, 2, 1, 15, 0, 13, 4, 11, 4, 15, 5, 13, 5, 9, 2, 12, 10, 2, 9, 0, 2, 6, 13, 5, 7, 11, 3, 5, 5, 8, 13, 5, 14, 13, 6, 15, 0, 2, 8, 15, 7, 0, 5, 8, 3, 1, 7, 7, 5, 11, 14, 4, 10, 0, 0, 8, 4, 12, 10]
1.682615e-79	1.781448e-79	[10, 1, 7, 2, 10, 1, 7, 13, 12, 5, 3, 15, 13, 3, 5, 8, 0, 3, 15, 2, 5, 9, 6, 8, 9, 13, 5, 15, 0, 12, 15, 5, 10, 2, 11, 8, 3, 12, 9, 6, 11, 10, 12, 8, 8, 6, 4, 12, 0, 15, 6, 7, 4, 8, 1, 10, 8, 10, 1, 5, 4, 12, 13, 9, 0, 2]
6.632512e-46	6.248055e-46	[4, 0, 9, 5, 13, 7, 4, 14, 9, 7, 4, 11, 5, 3, 0, 13, 15, 0, 5, 2, 5, 11, 11, 8, 6, 11, 5, 11, 2, 8, 10, 1, 12, 13, 15, 15, 4, 5]
2.422937e-109	2.479020e-109	[10, 12, 5, 4, 12, 2, 6, 4, 2, 15, 13, 8, 14, 0, 1, 9, 3, 13, 1, 12, 2, 13, 1, 10, 9, 6, 1, 10, 10, 10, 12, 11, 3, 9, 13, 2, 14, 13, 10, 8, 9, 8, 3, 11, 15, 5, 0, 7, 3, 0, 12, 8, 0, 7, 13, 2, 11, 2, 5, 4, 1, 6, 12, 0, 11, 5, 8, 0, 14, 12, 5, 15, 12, 0, 11, 5, 12, 8, 10, 14, 10, 6, 7, 13, 8, 10, 11, 13, 11, 9]
1.261708e-49	1.241364e-49	[13, 9, 0, 1, 1, 10, 5, 7, 15, 11, 12, 11, 10, 7, 1, 9, 12, 14, 13, 9, 7, 13, 8, 6, 9, 9, 12, 4, 12, 4, 13, 5, 13, 5, 4, 9, 6, 5, 5, 1, 7, 9]
6.870418e-85	6.253764e-85	[4, 8, 0, 14, 5, 3, 11, 0, 10, 7, 9, 5, 0, 2, 3, 15, 15, 0, 13, 10, 9, 10, 13, 13, 0, 2, 6, 1, 1, 1, 5, 1, 0, 5, 5, 5, 2, 9, 7, 6, 6, 10, 10, 11, 7, 6, 9, 9, 10, 0, 8, 1, 9, 1, 14, 15, 5, 13, 3, 2, 10, 9, 0, 6, 5, 6, 9, 13, 2, 10, 8]
3.574040e-38	3.501706e-38	[4, 15, 4, 5, 2, 13, 13, 5, 11, 10, 14, 5, 5, 1, 4, 8, 9, 5, 5, 6, 8, 11, 6, 3, 9, 8, 14, 9, 9, 10, 7, 5]
2.052353e-73	2.129288e-73	[14, 15, 2, 5, 0, 2, 5, 13, 4, 7, 5, 4, 9, 0, 9, 3, 8, 2, 15, 1, 4, 1, 13, 6, 3, 4, 4, 15, 9, 3, 4, 11, 8, 15, 5, 10, 6, 1, 6, 12, 13, 14, 2, 9, 13, 11, 13, 5, 5, 13, 2, 14, 7, 5, 10, 6, 13, 8, 9, 5, 10]
4.921173e-115	4.515571e-115	[5, 9, 7, 15, 10, 14, 7, 0, 9, 2, 2, 6, 15, 5, 7, 10, 4, 3, 1, 9, 7, 4, 12, 8, 15, 7, 12, 13, 5, 4, 8, 14, 2, 12, 0, 9, 2, 5, 6, 4, 3, 4, 15, 2, 2, 0, 1, 0, 14, 12, 0, 9, 0, 15, 2, 10, 9, 8, 14, 5, 13, 13, 14, 5, 7, 11, 5, 3, 8, 11, 14, 7, 0, 5, 1, 13, 7, 7, 15, 7, 15, 13, 8, 11, 8, 2, 1, 6, 8, 7, 13, 0, 7, 9, 9]
3.449607e-58	3.114271e-58	[10, 3, 0, 1, 2, 15, 3, 1, 4, 8, 5, 10, 11, 12, 10, 13, 6, 13, 11, 5, 6, 10, 2, 11, 5, 5, 14, 12, 7, 1, 15, 9, 6, 8, 3, 7, 8, 0, 7, 15, 15, 9, 15, 5, 5, 9, 8, 1]
1.690989e-119	1.429626e-119	[4, 2, 14, 0, 8, 11, 1, 12, 0, 5, 4, 11, 13, 9, 9, 13, 4, 13, 0, 7, 6, 7, 8, 14, 8, 7, 3, 10, 13, 2, 15, 5, 1, 14, 9, 1, 8, 9, 13, 2, 6, 3, 2, 8, 7, 9, 3, 6, 5, 13, 3, 11, 15, 3, 4, 8, 12, 13, 2, 3, 0, 3, 6, 13, 9, 5, 0, 5, 0, 7, 15, 7, 13, 4, 14, 0, 9, 1, 8, 15, 2, 5, 14, 12, 3, 9, 1, 11, 8, 6, 7, 8, 1, 1, 6, 13, 13, 7, 7]
1.025580e-54	1.034453e-54	[0, 13, 13, 12, 11, 8, 9, 10, 0, 12, 0, 9, 7, 1, 14, 5, 4, 13, 6, 10, 9, 11, 12, 15, 4, 15, 12, 9, 8, 0, 6, 5, 10, 11, 15, 12, 3, 0, 5, 15, 7, 10, 10, 4, 12]
